"x","y","binorm","pnorm_x","pnorm_y","pnorm_x_normalized","pnorm_y_normalized","pnorm_xy","binorm_compo","uniform","truex"
-1.4405762304922,-0.800320128051221,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.4405762304922,-0.78031212484994,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.4405762304922,-0.760304121648659,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.4405762304922,-0.740296118447379,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.4405762304922,-0.720288115246098,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.4405762304922,-0.700280112044818,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.4405762304922,-0.680272108843538,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.4405762304922,-0.660264105642257,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.4405762304922,-0.640256102440977,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.4405762304922,-0.620248099239696,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.4405762304922,-0.600240096038415,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.4405762304922,-0.580232092837135,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.4405762304922,-0.560224089635854,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.4405762304922,-0.540216086434574,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.4405762304922,-0.520208083233293,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.4405762304922,-0.500200080032013,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.4405762304922,-0.480192076830732,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.4405762304922,-0.460184073629452,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.4405762304922,-0.440176070428171,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.4405762304922,-0.420168067226891,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.4405762304922,-0.40016006402561,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.4405762304922,-0.38015206082433,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.4405762304922,-0.360144057623049,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.4405762304922,-0.340136054421769,6.06786563857477e-37,0.000000000000356388056914928,1.69760043856353e-24,2.56624494895999e-15,1.56249906108475e-26,4.00975532326346e-41,6.06786563857477e-37,0.0000577734126754867,1
-1.4405762304922,-0.320128051220488,2.88442674078867e-36,0.000000000000356388056914928,8.06973059693086e-24,2.56624494895999e-15,7.42751132391361e-26,1.90608134183364e-40,2.88442674078867e-36,0.0000577734126754867,1
-1.4405762304922,-0.300120048019208,1.33895944870725e-35,0.000000000000356388056914928,3.7459928791009e-23,2.56624494895999e-15,3.44787278764965e-25,8.8480861259625e-40,1.33895944870725e-35,0.0000577734126754867,1
-1.4405762304922,-0.280112044817927,6.06959553341759e-35,0.000000000000356388056914928,1.69808440943875e-22,2.56624494895999e-15,1.56294451575179e-24,4.01089846905274e-39,6.06959553341759e-35,0.0000577734126754867,1
-1.4405762304922,-0.260104041616647,2.68680752729031e-34,0.000000000000356388056914928,7.51685338526241e-22,2.56624494895999e-15,6.91863414380514e-24,1.7754909925242e-38,2.68680752729031e-34,0.0000577734126754867,1
-1.4405762304922,-0.240096038415366,1.16144299783112e-33,0.000000000000356388056914928,3.24935695667078e-21,2.56624494895999e-15,2.99076100511816e-23,7.67502532293096e-38,1.16144299783112e-33,0.0000577734126754867,1
-1.4405762304922,-0.220088035214086,4.90279622438327e-33,0.000000000000356388056914928,1.37165018417507e-20,2.56624494895999e-15,1.26248914422041e-22,3.23985638947245e-37,4.90279622438327e-33,0.0000577734126754867,1
-1.4405762304922,-0.200080032012805,2.02103784017989e-32,0.000000000000356388056914928,5.65423647819718e-20,2.56624494895999e-15,5.20425124053925e-22,1.33553834591526e-36,2.02103784017989e-32,0.0000577734126754867,1
-1.4405762304922,-0.180072028811525,8.13560332286611e-32,0.000000000000356388056914928,2.27608925304424e-19,2.56624494895999e-15,2.09494957708425e-21,5.37615377051831e-36,8.13560332286611e-32,0.0000577734126754867,1
-1.4405762304922,-0.160064025610244,3.19808396301717e-31,0.000000000000356388056914928,8.94724613489651e-19,2.56624494895999e-15,8.2351909009281e-21,2.1133517053228e-35,3.19808396301717e-31,0.0000577734126754867,1
-1.4405762304922,-0.140056022408964,1.22765063370427e-30,0.000000000000356388056914928,3.43458536875032e-18,2.56624494895999e-15,3.16124824898656e-20,8.11253735137037e-35,1.22765063370427e-30,0.0000577734126754867,1
-1.4405762304922,-0.120048019207683,4.60197880577154e-30,0.000000000000356388056914928,1.28749080883947e-17,2.56624494895999e-15,1.18502748601383e-19,3.04107080036173e-34,4.60197880577154e-30,0.0000577734126754867,1
-1.4405762304922,-0.100040016006403,1.68461003511875e-29,0.000000000000356388056914928,4.71301591822628e-17,2.56624494895999e-15,4.3379365248853e-19,1.11322076958959e-33,1.68461003511875e-29,0.0000577734126754867,1
-1.4405762304922,-0.0800320128051221,6.02197787363708e-29,0.000000000000356388056914928,1.68476246644568e-16,2.56624494895999e-15,1.55068278269279e-18,3.97943185852458e-33,6.02197787363708e-29,0.0000577734126754867,1
